Bookmaker,StartDate,StartTime,RealTime,Team1,Team2,Quote1,QuoteX,Quote2,Result;
b365,2019_10_01,16:55,N/A,Atalanta,Shakhtar Donetsk,1.83,3.90,4.00,N/A;
b365,2019_10_01,16:55,N/A,Real Madrid,Club Bruges,1.25,6.50,10.00,N/A;
b365,2019_10_01,19:00,N/A,Juventus,Bayer Leverkusen,1.50,4.00,7.00,N/A;
b365,2019_10_01,19:00,N/A,Galatasaray,Paris Saint Germain,9.00,5.25,1.33,N/A;
b365,2019_10_01,19:00,N/A,Tottenham,Bayern Monaco,3.25,3.60,2.15,N/A;
b365,2019_10_01,19:00,N/A,Stella Rossa Belgrado,Olympiakos,3.00,3.25,2.40,N/A;
b365,2019_10_01,19:00,N/A,Manchester City,Dinamo Zagabria,1.07,11.00,34.00,N/A;
b365,2019_10_01,19:00,N/A,Lokomotiv Mosca,Atletico Madrid,6.25,3.60,1.61,N/A;
b365,2019_10_02,16:55,N/A,Genk,Napoli,7.50,5.00,1.40,N/A;
b365,2019_10_02,16:55,N/A,Slavia Praga,Borussia Dortmund,3.80,3.75,1.90,N/A;
b365,2019_10_02,19:00,N/A,Barcellona,Inter,1.61,4.20,5.25,N/A;
b365,2019_10_02,19:00,N/A,Liverpool,FC Salisburgo,1.30,6.00,8.50,N/A;
b365,2019_10_02,19:00,N/A,Zenit S. Pietroburgo,Benfica,2.25,3.40,3.20,N/A;
b365,2019_10_02,19:00,N/A,RB Lipsia,Lione,1.65,4.33,4.75,N/A;
